City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Forsytheganj,4,BY,1626970429,46,52.6333,29.7333,71.85,8.66
Husavik,19,IS,1626970429,65,66.0449,-17.3389,62.42,7.45
Manicoré,9,BR,1626970430,31,-5.8092,-61.3003,95.81,2.68
Carutapera,83,BR,1626970430,58,-1.195,-46.02,87.08,10.71
Abomsa,94,ET,1626970431,49,9.9833,39.9833,79.95,5.08
Maltahöhe,2,NA,1626970431,9,-24.8333,16.9833,54.86,11.21
Ambulu,4,ID,1626970431,89,-8.345,113.6058,73.96,5.14
Mildura,90,AU,1626970161,93,-34.2,142.15,44.56,8.05
Kandrian,100,PG,1626970432,95,-6.2167,149.55,73.76,8.48
San Quintín,33,MX,1626970432,79,30.4833,-115.95,72.28,4.36
Aloleng,100,PH,1626970433,91,16.1307,119.7824,80.29,19.75
Nassau,1,US,1626970383,56,40.7507,-73.5829,81.75,3.0
Gambēla,93,ET,1626970433,81,8.25,34.5833,76.01,2.91
Bilibino,99,RU,1626970433,48,68.0546,166.4372,52.39,3.76
Goba,88,ET,1626970433,86,7.0167,39.9833,54.25,3.65
Tura,91,IN,1626970434,98,25.5198,90.2201,75.04,4.27
Tambovka,68,RU,1626970434,85,50.0969,128.0489,73.2,6.02
Fuxin,100,CN,1626970435,76,42.0156,121.6589,74.35,4.43
Burley,75,US,1626970435,42,42.5357,-113.7928,69.71,10.36
Ringebu,79,NO,1626970435,35,61.5167,10.1667,76.93,10.56
Abu Kamal,0,SY,1626970436,19,34.4506,40.9171,101.17,9.46
Were Īlu,100,ET,1626970436,88,10.6,39.4333,54.82,4.9
Newport,69,GB,1626970436,61,51.5877,-2.9984,88.39,1.43
Menongue,44,AO,1626970437,11,-14.6585,17.691,75.81,8.08
Parnaíba,40,BR,1626970437,41,-2.9047,-41.7767,94.95,8.05
Lata,3,PT,1626970437,47,40.1629,-8.3327,82.49,10.89
Mount Darwin,7,ZW,1626970438,35,-16.7725,31.5838,68.65,4.23
Clyde River,90,CA,1626970438,93,70.4692,-68.5914,39.43,8.05
Kushiro,95,JP,1626970438,97,42.975,144.3747,62.82,4.79
Nome,90,US,1626970439,81,64.5011,-165.4064,41.16,8.05
Moose Factory,40,CA,1626970439,82,51.2585,-80.6094,66.18,5.75
Abu Samrah,0,SY,1626970439,40,35.3029,37.1841,87.69,17.92
Boda,100,CF,1626970440,92,4.3189,17.4695,73.35,5.57
Wanning,100,CN,1626970210,89,18.8003,110.3967,80.04,6.76
Sept-Îles,87,CA,1626970206,72,50.2001,-66.3821,66.06,5.01
San Andrés,75,CO,1626970440,70,12.5847,-81.7006,86.02,20.71
Rosignol,7,GY,1626970441,58,6.2833,-57.5333,89.01,5.91
Kandiari,39,PK,1626970441,25,26.9156,68.5216,102.11,10.22
Statesboro,75,US,1626970416,69,32.4488,-81.7832,87.33,3.44
Norman Wells,17,CA,1626970441,68,65.282,-126.8329,69.04,8.77
Bar Harbor,90,US,1626970442,71,44.3876,-68.2039,72.93,13.0
Batagay,4,RU,1626970335,77,67.6333,134.6333,52.2,2.8
Robe,100,AU,1626970443,94,-37.1833,139.75,44.04,11.83
Holland,1,US,1626970443,64,42.7875,-86.1089,77.2,1.01
Alyangula,50,AU,1626970443,81,-13.8483,136.4192,70.63,5.97
Atar,26,MR,1626970444,8,20.5169,-13.0499,103.12,11.59
Culebra,31,PR,1626970445,75,18.303,-65.301,89.67,17.02
Ostrovnoy,100,RU,1626970445,89,68.0531,39.5131,44.85,14.41
Neiafu,40,TO,1626970445,83,-18.65,-173.9833,77.68,4.61
Srednekolymsk,42,RU,1626970445,76,67.45,153.6833,52.23,8.01
Port Hueneme,1,US,1626970446,75,34.1478,-119.1951,91.24,8.05
Sola,13,VU,1626970220,74,-13.8833,167.55,80.85,11.48
Ongandjera,0,NA,1626970446,14,-17.8833,15.0667,75.0,10.07
Esperance,17,AU,1626970313,72,-33.8667,121.9,50.11,14.92
Tasiilaq,100,GL,1626970447,97,65.6145,-37.6368,44.76,12.71
Presidente Venceslau,0,BR,1626970447,14,-21.8761,-51.8439,83.32,8.01
Lincoln,75,US,1626970303,63,40.8,-96.667,85.01,3.0
Yuzhnyy,0,RU,1626970447,56,53.2542,83.6936,70.18,11.18
Ngaoundéré,100,CM,1626970448,91,7.3167,13.5833,70.5,2.37
Nuuk,90,GL,1626970448,87,64.1835,-51.7216,47.01,32.21
Nouadhibou,1,MR,1626970449,85,20.931,-17.0347,68.25,25.64
Mizdah,0,LY,1626970157,19,31.4451,12.9801,93.04,9.66
Minna,93,NG,1626970449,79,9.6139,6.5569,79.83,5.7
Aktas,37,KZ,1626970449,45,49.7789,72.9608,65.95,10.6
Appleton,90,US,1626970283,69,44.2619,-88.4154,73.58,1.01
Olinda,20,BR,1626970218,61,-8.0089,-34.8553,78.53,17.27
Kalengwa,0,ZM,1626970450,20,-13.4659,25.0027,71.96,4.88
Saint-Joseph,66,RE,1626970450,74,-21.3667,55.6167,68.38,10.4
Soroti,81,UG,1626970451,54,1.7146,33.6111,75.45,2.55
Ukiah,1,US,1626970395,51,39.1502,-123.2078,86.04,0.0
Gresham,20,US,1626970158,75,45.4982,-122.4315,66.78,1.01
Vestmanna,43,FO,1626970451,88,62.1564,-7.1664,56.32,9.22
Lakes Entrance,100,AU,1626970452,63,-37.8811,147.981,43.18,8.9
Acaraú,81,BR,1626970452,50,-2.8856,-40.12,88.9,17.63
Lompoc,90,US,1626970258,88,34.6391,-120.4579,83.12,5.75
Waipawa,100,NZ,1626970452,84,-41.4122,175.5153,48.83,8.75
Javānrūd,0,IR,1626970453,21,34.7961,46.5172,83.66,9.31
Faya,92,SA,1626970453,91,18.3851,42.4509,66.72,9.95
Narganá,99,PA,1626970453,80,9.4428,-78.5906,84.16,9.48
Puro,100,PH,1626970454,76,12.4841,123.3827,82.17,27.6
Buala,59,SB,1626970454,84,-8.145,159.5921,80.11,7.94
Glens Falls,1,US,1626970157,66,43.3095,-73.644,78.48,4.0
Acapulco de Juárez,40,MX,1626970432,70,16.8634,-99.8901,84.02,5.75
Boiu Mare,40,RO,1626970455,59,47.4,23.5833,73.87,5.66
Krasnyy Chikoy,1,RU,1626970455,95,50.3643,108.7512,57.92,2.57
Itarema,80,BR,1626970455,49,-2.9248,-39.9167,88.84,18.03
Khorixas,0,NA,1626970456,12,-20.3667,14.9667,77.85,3.47
Medeiros Neto,81,BR,1626970456,47,-17.3739,-40.2206,78.28,8.32
Shamary,100,RU,1626970456,99,57.3434,58.2199,63.86,5.95
Ierapetra,0,GR,1626970457,43,35.01,25.7353,83.44,18.28
Apopka,55,US,1626970457,65,28.6806,-81.5095,93.09,1.01
Owando,100,CG,1626970457,27,-0.4819,15.8999,94.68,2.95
Salym,94,RU,1626970458,74,60.0625,71.4789,66.29,4.23
Alofi,3,NU,1626970372,77,-19.0595,-169.9187,76.84,16.08
Colares,20,PT,1626970459,55,38.7992,-9.4469,79.79,16.11
Hornepayne,100,CA,1626970459,69,49.2138,-84.7705,59.34,4.12
Yumen,64,CN,1626970459,27,40.2833,97.2,87.82,14.32
Chardara,0,KZ,1626970459,26,41.2547,67.9692,83.95,10.16
Nyrob,100,RU,1626970460,78,60.733,56.7202,58.84,2.75
Itoman,75,JP,1626970460,94,26.1247,127.6694,80.98,27.63
Petropavlovsk-Kamchatskiy,79,RU,1626970461,95,53.0452,158.6483,52.2,1.57
Bafoulabé,93,ML,1626970461,49,13.8065,-10.8321,91.71,11.07
Nezhinka,40,RU,1626970461,45,51.7676,55.3694,86.16,11.18
Limbang,100,MY,1626970462,94,4.75,115.0,80.71,1.66
Micheweni,10,TZ,1626970248,74,-4.9667,39.8333,76.19,10.63
Kharabali,29,RU,1626970462,43,47.4196,47.2568,85.78,10.47
Halifax,75,CA,1626970185,84,44.6453,-63.5724,72.68,1.01
Berlevåg,75,NO,1626970463,87,70.8578,29.0864,44.4,29.93
Port-Gentil,79,GA,1626970463,78,-0.7193,8.7815,75.02,13.35
Karakol,39,KG,1626970463,53,42.4907,78.3936,62.04,3.02
North Bend,1,US,1626970464,72,43.4065,-124.2243,63.86,0.0
Ures,73,MX,1626970464,49,29.4333,-110.4,89.38,3.94
Frumuşiţa,57,RO,1626970465,51,45.6667,28.0667,75.88,14.94
Vanimo,86,PG,1626970465,90,-2.6741,141.3028,77.74,4.34
Ulladulla,100,AU,1626970465,61,-35.35,150.4667,45.09,6.33
Atasū,53,KZ,1626970466,46,48.6814,71.6433,73.83,6.49
Mnogovershinnyy,14,RU,1626970333,79,53.9353,139.9242,64.36,0.96
Padang,60,ID,1626970420,83,-0.9492,100.3543,77.86,2.68
Antofagasta,36,CL,1626970278,60,-23.65,-70.4,64.22,6.15
Khammam,100,IN,1626970467,91,17.25,80.15,74.43,17.45
Mogok,100,MM,1626970467,98,22.9167,96.5,66.65,2.77
Athabasca,12,CA,1626970467,56,54.7169,-113.2854,64.42,11.5
Kirando,42,TZ,1626970467,49,-7.4167,30.6,77.09,1.9
Salamanca,0,ES,1626970468,9,40.8333,-6.0,92.98,17.05
Pauini,0,BR,1626970469,30,-7.7136,-66.9764,90.95,4.12
Voh,40,NC,1626970469,86,-20.9667,164.7,63.61,2.95
Shagonar,100,RU,1626970469,67,51.5333,92.8,70.34,0.34
Orizona,0,BR,1626970469,25,-17.0314,-48.2958,83.05,10.27
Nelson Bay,100,AU,1626970464,86,-32.7167,152.15,54.1,1.01
Samdrup Jongkhar District,52,BT,1626970470,93,26.9167,91.6167,73.81,4.61
Vyshkov,2,RU,1626970470,49,52.4764,31.6873,75.09,6.76
Ozernovskiy,100,RU,1626970471,94,51.5,156.5167,49.26,4.97
Anshun,100,CN,1626970471,95,26.25,105.9333,66.74,1.48
Smithers,100,CA,1626970471,75,54.7804,-127.1743,53.4,4.5
Dulce Grande,95,MX,1626970472,62,23.0,-102.1667,65.44,13.71
Kajaani,75,FI,1626970472,77,64.2273,27.7285,57.25,13.8
Taos,1,US,1626970473,57,36.4072,-105.5731,75.72,1.01
Leningradskiy,64,RU,1626970201,79,69.3833,178.4167,36.84,2.77
Colonia Nueva Germania,0,PY,1626970473,20,-23.9,-56.5667,83.23,6.38
Jiexiu,100,CN,1626970211,87,37.0244,111.9125,68.86,3.42
Galich,84,RU,1626970189,48,58.3797,42.3475,62.73,7.11
Palu,99,ID,1626970474,92,-0.8917,119.8707,76.5,2.55
Ketchikan,90,US,1626970474,88,55.3422,-131.6461,55.87,9.22
Caldwell,1,US,1626970251,31,43.6629,-116.6874,76.46,12.66
Troitskoye,100,RU,1626970475,62,52.9821,84.6757,70.5,9.19
Wajir,38,KE,1626970475,38,1.7471,40.0573,87.19,24.0
Dawlatabad,58,AF,1626970475,13,36.4141,64.9053,93.67,6.6
Neuquén,0,AR,1626970311,62,-38.9516,-68.0591,53.49,6.91
Along,10,IN,1626970476,91,28.1667,94.7667,77.27,2.59
Elk Plain,90,US,1626970476,79,47.0532,-122.3976,64.92,1.99
Tchaourou,84,BJ,1626970477,70,8.8865,2.5975,81.12,6.11
Lorengau,57,PG,1626970477,79,-2.0226,147.2712,81.43,7.23
Ust'-Uda,0,RU,1626970477,74,54.1742,103.0304,61.03,2.57
Geghamasar,51,AM,1626970275,61,40.3109,45.6792,65.57,8.52
Barcelos,30,PT,1626970478,59,41.5388,-8.6151,70.84,9.1
Porto-Novo,96,BJ,1626970260,65,6.4965,2.6036,81.23,11.3
Três Lagoas,0,BR,1626970478,13,-20.7511,-51.6783,85.59,8.21
Cadiz,0,ES,1626970478,21,36.5,-5.75,99.12,11.32
Nadym,52,RU,1626970479,58,65.5333,72.5167,58.37,8.75
Westport,20,US,1626970479,55,41.1415,-73.3579,81.86,1.01
Zhuji,14,CN,1626970479,98,29.7188,120.2423,80.51,3.87
Matara,99,LK,1626970480,87,5.9485,80.5353,79.03,14.88
